ENSID,Gene,Chr,Start.x,End.x,mBAT_combo_EUR_N06A,mBAT_combo_EUR_N06AA,mBAT_combo_EUR_N06AB,SuSiEx,MDD_GWAS_Nearest_gene,MDD_GWAS_Fine_mapping,MDD_GWAS_Expression,MDD_GWAS_Protein,MDD_GWAS_fastBAT,MDD_GWAS_HMAGMA,MDD_GWAS_PsyOPS,Start.y,End.y
ENSG00000140945,CDH13,16,82660570,83834245,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,82660408,83830204
ENSG00000156395,SORCS3,10,106401048,107025000,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,106400859,107024993
ENSG00000187323,DCC,18,49866567,51062273,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,49866542,51057784
ENSG00000196628,TCF4,18,52889416,53332018,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,52889562,53332018
ENSG00000091831,ESR1,6,151977826,152450754,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,151977826,152450754
ENSG00000107105,ELAVL2,9,23690102,23826335,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,23690102,23826335
ENSG00000145934,TENM2,5,166406034,167691162,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,166711804,167691162
ENSG00000148219,ASTN2,9,119185391,120177348,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,119187504,120177348
ENSG00000154822,PLCL2,3,16844159,17132096,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,16844159,17132086
ENSG00000196092,PAX5,9,36833266,37034265,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,36833272,37034103
ENSG00000196782,MAML3,4,140637907,141075338,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,140637907,141075338
ENSG00000002822,MAD1L1,7,1855429,2272878,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,1855429,2272878
ENSG00000006704,GTF2IRD1,7,73868120,74016931,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,73868120,74016931
ENSG00000041353,RAB27B,18,52385091,52562747,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,52385091,52562747
ENSG00000139990,DCAF5,14,69517598,69619867,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,69517598,69619867
ENSG00000140836,ZFHX3,16,72816784,73925770,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,72816784,73093597
ENSG00000155052,CNTNAP5,2,124782864,125678796,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,124782864,125672864
ENSG00000157890,MEGF11,15,66187417,66546094,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,66187417,66546085
ENSG00000160746,ANO10,3,43396351,43733086,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,43396351,43733086
ENSG00000171634,BPTF,17,65821619,65980494,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,65821640,65980494
ENSG00000174891,RSRC1,3,157823644,158263519,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,157823644,158263519
ENSG00000183098,GPC6,13,93879060,95060274,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,93879095,95059655
ENSG00000184588,PDE4B,1,66258197,66840262,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,66258197,66840259
ENSG00000185053,SGCZ,8,13942354,15095940,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,13947373,15095848
ENSG00000185219,ZNF445,3,44473197,44519162,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,44481262,44519162
ENSG00000196132,MYT1,20,62733747,62873606,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,62783144,62873604
ENSG00000123297,TSFM,12,58176544,58201854,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,58176372,58201854
ENSG00000183715,OPCML,11,132284871,133402396,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,132284871,133402414
ENSG00000001617,SEMA3F,3,50192478,50226508,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000006468,ETV1,7,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,13930853,14031050
ENSG00000008300,CELSR3,3,48673896,48700319,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
